City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Pamyat Parizhskoy Kommuny,RU,2022-06-28 22:31:04,56.1048,44.4952,48.15,77,2,3.87
271,Winslow,US,2022-06-28 22:31:05,35.0242,-110.6974,91.58,17,0,8.05
272,Jumla,NP,2022-06-28 22:31:06,29.2747,82.1838,65.21,97,100,1.61
273,Qaanaaq,GL,2022-06-28 22:31:07,77.484,-69.3632,46.96,51,80,1.03
274,Rio Grande,BR,2022-06-28 22:31:06,-32.035,-52.0986,50.11,95,100,16.37
275,Graneros,CL,2022-06-28 22:31:09,-34.0667,-70.7333,57.38,62,0,4.61
276,Krasnoselkup,RU,2022-06-28 22:31:09,65.7,82.4667,51.67,92,100,18.88
277,Cherdyn,RU,2022-06-28 22:31:10,60.403,56.4787,43.27,82,96,9.6
278,Tigzirt,DZ,2022-06-28 22:31:11,36.8886,4.1198,71.64,87,0,9.19
279,Balikpapan,ID,2022-06-28 22:31:11,-1.2675,116.8289,76.19,94,20,4.61
280,Dongli,CN,2022-06-28 22:31:12,23.5656,116.8194,82.38,89,40,6.71
281,Aklavik,CA,2022-06-28 22:31:12,68.2191,-135.0107,71.6,60,0,5.75
282,Dwarka,IN,2022-06-28 22:31:13,22.2394,68.9678,84.43,79,100,16.37
283,Pisco,PE,2022-06-28 22:27:14,-13.7,-76.2167,63.01,82,75,9.22
284,Lujiang,CN,2022-06-28 22:31:14,31.2581,117.2817,79.88,87,32,7.63
285,Xingyi,CN,2022-06-28 22:26:49,24.1877,102.817,62.38,96,100,2.1
286,Diego De Almagro,CL,2022-06-28 22:31:15,-26.3667,-70.05,61.95,30,0,3.51
287,Labuhan,ID,2022-06-28 22:31:15,-6.8844,112.2051,74.8,76,37,13.96
288,Sakakah,SA,2022-06-28 22:31:17,29.9697,40.2064,87.37,17,0,5.46
289,Tuatapere,NZ,2022-06-28 22:31:17,-46.1333,167.6833,47.1,87,98,7.14
290,Naryan-Mar,RU,2022-06-28 22:31:18,67.6713,53.087,40.14,82,96,15.59
291,Port Hardy,CA,2022-06-28 22:31:19,50.6996,-127.4199,59.18,88,100,10.36
292,Arlit,NE,2022-06-28 22:31:19,18.7369,7.3853,95.7,11,13,5.97
